,date,text,isRetweet,isDeleted,favorites,retweets,Toxicity_score
0,12/20/2020 19:23,https://t.co/8S0ePCOCOG,f,f,95758,26103,0.15528081
1,12/20/2020 17:51,Wow! https://t.co/gAttnzPa5d,f,f,134933,40197,0.07345467
2,12/20/2020 16:52,Cute! https://t.co/bMkuaxd7lL,f,f,257733,44098,0.052776534
3,12/20/2020 16:30,David is a great guy and patriot. Thank you Lauren! https://t.co/p69H8F52r5,f,f,119885,22074,0.081564635
4,12/20/2020 5:26,GREATEST ELECTION FRAUD IN THE HISTORY OF OUR COUNTRY!!!,f,f,425394,86154,0.47185668
5,12/20/2020 5:18,"Why isn’t Congress giving our people a Stimulus Bill? It wasn’t their fault, it was the fault of China. GET IT DONE, and give them more money in direct payments.",f,f,249400,49138,0.11357308
6,12/20/2020 5:06,Martial law = Fake News. Just more knowingly bad reporting!,f,f,242167,45118,0.32232618
7,12/20/2020 5:04,"What would Bolton, one of the dumbest people in Washington, know? Wasn’t he the person who so stupidly said, on television, “Libyan solution”, when describing what the U.S. was going to do for North Korea? I’ve got plenty of other Bolton “stupid stories”.",f,f,156111,29114,0.8606264
8,12/20/2020 4:53,"As badly as we were treated in Georgia by the “Republican” Governor and “Republican” Secretary of State, we must have a massive victory for two great people, @KLoeffler &amp; @sendavidperdue, on January 5th. I will be having a big Rally for them on Monday night, January 4th. WIN!",f,f,155710,33955,0.1154678
9,12/20/2020 4:39,https://t.co/nosN75WVxt,f,f,92201,27893,0.04908305
10,12/20/2020 4:38,https://t.co/mVOIboynpb,f,f,92945,27733,0.06552732
11,12/20/2020 1:18,Watch @RealPNavarro NOW on the Election Fraud. @JesseBWatters  @FoxNews,f,f,153928,31798,0.24014637
12,12/19/2020 20:35,https://t.co/Xr1fgfxPr2,f,f,96165,24372,0.18025723
13,12/19/2020 20:27,https://t.co/tVpKRrC8VP,f,f,84226,23229,0.06924481
14,12/19/2020 20:01,https://t.co/UtbrPnJKz1,f,f,81375,22310,0.061942074
15,12/19/2020 19:59,The lie of the year is that Joe Biden won! Christina Bobb @OANN,f,f,294812,62329,0.35112292
16,12/19/2020 19:38,https://t.co/xcN3Dur87Q,f,f,79655,22541,0.04360506
17,12/19/2020 19:23,We don’t want to have lockdowns. The cure cannot be worse than the problem itself! https://t.co/sHBJfG9T8X,f,f,148590,35763,0.23145728
18,12/19/2020 19:19,"The entire WORLD is being badly hurt by the China Virus, but if you listen to the Fake News Lamestream Media, and Big Tech, you would think that we are the only one. No, but we are the Country that developed vaccines, and years ahead of schedule! https://t.co/z1UoJ8lbTm",f,f,90004,20622,0.21515198
19,12/19/2020 19:09,Very happy to have helped get @WreathsAcross America so beautifully open and operating today. Congratulations to all of those who have worked so hard for this great success!,f,f,164286,27429,0.079982966
20,12/19/2020 18:50,https://t.co/6YpmZqdP4k,f,f,94353,28064,0.053300824
21,12/19/2020 18:24,https://t.co/ftlALc6UWn,f,f,285596,86873,0.050414793
22,12/19/2020 16:30,"....discussing the possibility that it may be China (it may!). There could also have been a hit on our ridiculous voting machines during the election, which is now obvious that I won big, making it an even more corrupted embarrassment for the USA. @DNI_Ratcliffe @SecPompeo",f,f,180086,43970,0.6364068
23,12/19/2020 16:30,"The Cyber Hack is far greater in the Fake News Media than in actuality. I have been fully briefed and everything is well under control. Russia, Russia, Russia is the priority chant when anything happens because Lamestream is, for mostly financial reasons, petrified of....",f,f,196757,49136,0.16179699
24,12/19/2020 14:41,"He didn’t win the Election. He lost all 6 Swing States, by a lot. They then dumped hundreds of thousands of votes in each one, and got caught. Now Republican politicians have to fight so that their great victory is not stolen. Don’t be weak fools! https://t.co/d9Bgu8XPIj",f,f,225840,64973,0.781586
25,12/19/2020 14:18,One of the Trump Administration’s great achievements into the future will be the authorization and start up of the SPACE FORCE. 75 years since Air Force. Congratulations to all! https://t.co/iG011Jt50r,f,f,124233,25016,0.057215806
26,12/19/2020 6:42,"Peter Navarro releases 36-page report alleging election fraud 'more than sufficient' to swing victory to Trump https://t.co/D8KrMHnFdK. A great report by Peter. Statistically impossible to have lost the 2020 Election. Big protest in D.C. on January 6th. Be there, will be wild!",f,f,218392,67211,0.079745464
27,12/19/2020 0:47,"Congratulations, the Moderna vaccine is now available!",f,f,270657,31214,0.045287617
28,12/18/2020 17:59,https://t.co/oMa4GS9q6K,f,f,168033,47351,0.045370657
29,12/18/2020 16:30,THANK YOU to the GREAT men and women of @FedEx and @UPS for driving through the storms this week to deliver millions of doses of the vaccine across the country. Two Great American Companies!,f,f,263908,38403,0.24126534
30,12/18/2020 15:17,"The Secretary of State and Governor of Georgia, both so-called “Republicans”, aren’t allowing Fulton County to go through the vital Voter Signature Verification process. Also, they are not allowing Republican “watchers” to be present and verify! @BrianKempGA",f,f,181668,51939,0.15235311
31,12/18/2020 14:19,"Governor @BrianKempGA of Georgia still has not called a Special Session. So easy to do, why is he not doing it? It will give us the State. MUST ACT NOW!",f,f,200816,45887,0.16653036
32,12/18/2020 14:16,"Oh, they do this to me every day. When will they apologize? https://t.co/oqcroLYx5B",f,f,100374,20977,0.082396
33,12/18/2020 14:14,".@senatemajldr and Republican Senators have to get tougher, or you won’t have a Republican Party anymore. We won the Presidential Election, by a lot. FIGHT FOR IT. Don’t let them take it away!",f,f,212444,54898,0.15163815
34,12/18/2020 13:45,"Well, at least she was happy when I pardoned Scooter Libby. We got a GREAT new Senator from her state, not Liz! https://t.co/tT4gdn8f9V",f,f,77814,16670,0.06995778
35,12/18/2020 12:58,The Russia Hoax becomes an even bigger lie! https://t.co/nbtfIGg2Ew,f,f,119006,28803,0.49651223
36,12/18/2020 12:43,"Europe and other parts of the World being hit hard by the China Virus - Germany, France, Spain and Italy, in particular. The vaccines are on their way!!!",f,f,163031,26660,0.15426078
37,12/18/2020 12:37,Moderna vaccine overwhelmingly approved. Distribution to start immediately.,f,f,165948,23236,0.05598852
38,12/18/2020 3:13,"I am very disappointed in the United States Supreme Court, and so is our great country!",f,f,436587,75146,0.10849603
39,12/18/2020 3:04,"New Peter Strzok Texts Undermine Official Narrative on Start of ‘Russia Collusion‘ Investigation https://t.co/kwmNTZbsYD via @BreitbartNews. Check out last in his class John McCain, one of the most overrated people in D.C.",f,f,92780,26363,0.07326143
40,12/18/2020 2:28,We won Wisconsin big. They rigged the vote! https://t.co/TRBRmBiMtv,f,f,176441,39174,0.16251634
41,12/18/2020 2:24,Thank you! https://t.co/Du7bro3qis,f,f,98337,15722,0.036312982
42,12/18/2020 2:23,Tommy will be more popular than ever before - a hero! https://t.co/dTAXJyENlr,f,f,94683,18244,0.05346616
43,12/18/2020 1:46,"That’s because he is a great champion and man of courage. More Republican Senators should follow his lead. We had a landslide victory, and then it was swindled away from the Republican Party - but we caught them. Do something! https://t.co/nZU0czsZgB",f,f,144493,34751,0.11248609
44,12/17/2020 23:10,Democrats would never put up with a Presidential Election stolen by the Republicans!,f,f,353935,61718,0.47553918
45,12/17/2020 15:45,Just released data shows many thousands of noncitizens voted in Nevada. They are totally ineligible to vote!,f,f,331296,75273,0.09225321
46,12/17/2020 15:34,"I will Veto the Defense Bill, which will make China very unhappy. They love it. Must have Section 230 termination, protect our National Monuments and allow for removal of military from far away, and very unappreciative, lands. Thank you! https://t.co/9rI08S5ofO",f,f,191834,45320,0.1926016
47,12/17/2020 14:56,Crazy! https://t.co/rO3EkzQVN8,f,f,117122,21825,0.40338603
48,12/17/2020 14:55,"I have NOTHING to do with the potential prosecution of Hunter Biden, or the Biden family. It is just more Fake News. Actually, I find it very sad to watch!",f,f,229496,41707,0.14150928
49,12/17/2020 14:52,"All-time Stock Market high. The Vaccine and the Vaccine rollout are getting the best of reviews. Moving along really well. Get those “shots” everyone! Also, stimulus talks looking very good.",f,f,183893,27422,0.15818633
50,12/17/2020 6:14,“Michigan fraud witness totally debunks Dominion CEO.” @OANN  It was brutal!,f,f,258161,55580,0.23988089
51,12/16/2020 19:10,TRUE! https://t.co/YapMxkF4SE,f,f,153812,33695,0.055795826
52,12/16/2020 19:01,https://t.co/GgwnkrGz9U,f,f,163597,42842,0.059841048
53,12/16/2020 18:51,"Chris Krebs was totally excoriated and proven wrong at the Senate Hearing on the Fraudulent 2020 Election. Massive FRAUD took place with machines, people voting from out of state, illegals, dead people, no signatures—and so much more!",f,f,222413,52018,0.40328577
54,12/16/2020 18:33,Former United States Solicitor General Ken Starr: Pennsylvania “Flagrantly Violated” Laws Ahead of Election.,f,f,246740,51116,0.026087886
55,12/16/2020 18:27,"Senate Hearings going on LIVE @OANN, as to the Fraudulent 2020 Election that just took place. @SenRonJohnson doing an excellent job. Nevada must be flipped based on testimony!",f,f,179518,38198,0.054193504
56,12/16/2020 15:06,"Perhaps the biggest difference between 2016 and 2020 is @FoxNews, despite the fact that I went from 63,000,000 Votes to 75,000,000 Votes, a record 12,000,000 Vote increase. Obama went down 3,000,000 Votes, and won. Rigged Election!!!",f,f,258927,53928,0.11107415
57,12/16/2020 13:21,"Can’t believe how badly @FoxNews is doing in the ratings. They played right into the hands of the Radical Left Democrats, &amp; now are floating in limboland. Hiring fired @donnabraziIe, and far worse, allowing endless negative and unedited commercials. @FoxNews is dead. Really Sad!",f,f,222800,39165,0.36524847
58,12/16/2020 12:32,So ridiculous and unfair. Will people never make a stand! https://t.co/rO3EkzzkVA,f,f,151489,29078,0.72211385
59,12/16/2020 6:09,"“Study: Dominion Machines shifted 2-3% of Trump Votes to Biden. Far more votes than needed to sway election.” Florida, Ohio, Texas and many other states were won by even greater margins than projected. Did just as well with Swing States, but bad things happened. @OANN",f,f,221896,50596,0.09989937
60,12/16/2020 5:40,"Trump's allies slam Mitch McConnell for congratulating Biden https://t.co/ak9nu6420L via @MailOnline. Mitch, 75,000,000 VOTES, a record for a sitting President (by a lot). Too soon to give up. Republican Party must finally learn to fight. People are angry!",f,f,154889,36751,0.16773336
61,12/16/2020 4:54,Poll: 92% of Republican Voters think the election was rigged!,f,f,457695,68430,0.17554387
62,12/16/2020 4:16,Franklin Graham: ‘I Am Grateful to God’ for ‘the Last Four Years’ https://t.co/wbSLJ4snxX via @BreitbartNews Thank you Franklin!,f,f,130702,19626,0.032629803
