Q,Toxicity_score,T,Toxicity_score
Be strong in the Lord. Q,0.068667345,LAW &amp; ORDER!,0.18572643
YOU ARE WITNESSING THE GREATEST [COORDINATED] DISINFORMATION CAMPAIGN TO EVER BE LAUNCHED AGAINST THE AMERICAN PEOPLE. INFORMATION WARFARE. INFILTRATION V INVASION INSURGENCY. IRREGULAR WARFARE. [D] EFFORTS TO REGAIN POWER. Q,0.44951147,Our National Guard stopped them cold last night. Should have been called up sooner! https://t.co/D5vLrHSYcJ,0.07668536
https://twitter.com/marklevinshow/status/1267192115488083969  All assets being deployed. People used as pawns [controlled]. Q,0.05472444,SO TERRIBLE! Where are the arrests and LONG TERM jail sentences? https://t.co/MiT9DtAuVL,0.33526877
https://twitter.com/yashar/status/1267239843693596672  False. Woodshed utilized re: intelligence management [monitor[ing] of situation(s)]. Q,0.081626184,STRENGTH! https://t.co/xHE5AdK9Ka,0.045335364
https://twitter.com/TrumpStudents/status/1267202212192796673  Q,0.06837107,Get tough Democrat Mayors and Governors. These people are ANARCHISTS. Call in our National Guard NOW. The World is watching and laughing at you and Sleepy Joe. Is this what America wants? NO!!!,0.367164
https://twitter.com/GarnaMejiaKSL/status/1267144803394809857  Humanity at its finest. TOGETHER WE WIN. Q,0.09304322,"Law &amp; Order in Philadelphia, NOW! They are looting stores. Call in our great National Guard like they FINALLY did (thank you President Trump) last night in Minneapolis. Is this what voters want with Sleepy Joe? All Dems!",0.18393688
https://twitter.com/drewp1973/status/1267192271843266562  Buckle up. Here we go. Q,0.03626909,"The Lamestream Media is doing everything within their power to foment hatred and anarchy. As long as everybody understands what they are doing, that they are FAKE NEWS and truly bad people with a sick agenda, we can easily work through them to GREATNESS!",0.38992965
"Oh, shit",0.95869243,The United States of America will be designating ANTIFA as a Terrorist Organization.,0.49246624
>>9398276 Trolling is fun! Q,0.26473516,"Other Democrat run Cities and States should look at the total shutdown of Radical Left Anarchists in Minneapolis last night. The National Guard did a great job, and should be used in other States before it is too late!",0.2416945
Antifa 'mapping' started a long time ago. Q,0.08412261,"Congratulations to our National Guard for the great job they did immediately upon arriving in Minneapolis, Minnesota, last night. The ANTIFA led anarchists, among others, were shut down quickly. Should have been done by Mayor on first night and there would have been no trouble!",0.10822195
https://twitter.com/TheJusticeDept/status/1267146207102631936  Q,0.05033,"Let New York’s Finest be New York’s Finest. There is nobody better, but they must be allowed to do their job!",0.09650843
">>9395126 "". . . and address its root causes.""  Please and thank you.",0.065802716,The National Guard has been released in Minneapolis to do the job that the Democrat Mayor couldn’t do. Should have been used 2 days ago &amp; there would not have been damage &amp; Police Headquarters would not have been taken over &amp; ruined. Great job by the National Guard. No games!,0.12159982
