Q,Toxicity_score,T,Toxicity_score
These people are stupid. Q,0.9325978,"Despite the Democrat inspired laws on Sanctuary Cities and the Border being so bad and one sided, I have instructed the Secretary of Homeland Security not to let these large Caravans of people into our Country. It is a disgrace. We are the only Country in the World so naive! WALL",0.53082144
>>8200462  Baker already noted Q.  Missed heaps of other shit but got this,0.90234405,The Caravans are a disgrace to the Democrat Party. Change the immigration laws NOW!,0.5578606
https://www.congress.gov/106/cdoc/tdoc16/CDOC-106tdoc16.pdf  These people are stupid. Q,0.86022687,"Where’s the Whistleblower? Just read the Transcript, everything else is made up garbage by Shifty Schiff and the Never Trumpers!",0.6036486
shit  search dep.justice and look what you find re corney  https://search.justice.gov/search?query=corney&op=Search&affiliate=justice   https://www.justice.gov/oip/foia-library/foia-processed/general_topics/actions_dag_appointment_mueller/download  …confinned by then-FBI Director James 8. Corney in testimony before the House Permanent  James 8 Corney,0.61211485,The “Times” is a disgrace to journalism! https://t.co/gfMc6fIbfI,0.73720074
Relevant to today re: F assets. Deconstruction of foreign controlled [intel] US media [+alt] critical.  Untouchable re: State backed? Epstein thought so. Puppets & Puppet Masters. Q,0.5154597,Another terrorist attack in London...These animals are crazy and must be dealt with through toughness and strength!,0.6485034
Relevant to today re: F assets. Deconstruction of foreign controlled [intel] US media [+alt] critical.  Untouchable re: State backed? Epstein thought so. Puppets & Puppet Masters. Q,0.5154597,....immediately fire back if a savage sicko came to a school with bad intentions. Highly trained teachers would also serve as a deterrent to the cowards that do this. Far more assets at much less cost than guards. A “gun free” school is a magnet for bad people. ATTACKS WOULD END!,0.63713425
http://twitter.com/DailyCaller/status/1203343309311266816  Corrupt. Think Harvard. Think tax break. Think political career. Corrupt. DRAIN THE SWAMP! Q,0.5042395,“Clapper lied about (fraudulent) Dossier leaks to CNN” @foxandfriends FoxNews  He is a lying machine who now works for Fake News CNN.,0.6552314
https://twitter.com/michaelbeatty3/status/1214427316866011136  https://www.youtube.com/watch?v=j0uCrA7ePno  Open your eyes to see the TRUTH. Who are the REAL racists?  Q,0.5025958,"Just won lawsuit filed by the DNC and a bunch of Democrat crazies trying to claim the Trump Campaign (and others), colluded with Russia. They haven’t figured out that this was an excuse for them losing the election!",0.53490317
https://www.nationalreview.com/corner/born-alive-bill-fails-to-pass-senate-vote/  These people are sick! Q,0.47507378,"Texas &amp; Oklahoma: Mini Mike Bloomberg will kill your drilling, fracking and pipelines. Petroleum based “anything” is dead. Energy jobs gone. Don’t vote for Mini Mike!",0.5605629
All assets [F + D] being deployed. [Some] who once supported POTUS [sleepers] have/will turn [puppets & puppet masters]. Control of narrative = control of public opinion Control of public opinion = power EVERYTHING IS AT STAKE. OLD GUARD POWER STRUCTURE BEING DESTROYED. WASHINGTON CIVIL WAR [CONTROL THE NARRATIVE]. PREV EXPOSURE OF TRUTH. [SELF PRESERVATION] FIGHTING FOR SURVIVAL. INFORMATION WARFARE. Q,0.44863346,What he did is illegal. Schiff is a corrupt politician and a criminal! https://t.co/uLzJY5MjW3,0.6028669
"Corrupt [D]s fighting for their lives to keep media/gov focused on POTUS. Don't worry, it won't be boring forever.  Q",0.42661864,"....the American public’s tone deafness - &amp, it should be intolerable, because the American people have had it with this.” @kilmeade @foxandfriends  The Radical Left, Do Nothing Democrats have gone CRAZY. They want to make it as hard as possible for me to properly run our Country!",0.5154597
"https://twitter.com/M2Madness/status/1225606976912199680  If dirty cops ran the investigation into the DNC breach, could an argument be made that it was corrupt?  If dirty cops ran the investigation into election interference, could an argument be made that it was corrupt? If dirty cops ran the investigation into [HRC] private server/email scandal, could an argument be made that it was corrupt? RUSSIA DID NOT 'HACK' [penetrate] THE DNC SERVER. >internal DL / release >crowdstrike manipulation of source RUSSIA DID NOT INTERFERE WITH US ELECTION OF 2016. >crowdstrike manipulation of source The truth will be made public. Q",0.41709083,"....I have seen some of the regulations being circulated, including those being contemplated by Congress, and they are ridiculous. I want to make it EASY to do business with the United States, not difficult. Everyone in my Administration is being so instructed, with no excuses...",0.5361717
When a B2 bomber is no longer stealth (think public statements made last week) what must that signal?  Planned/coordinated attacks on BARR coming [smear campaign]. Public opinion is important.  Information warfare. A Traitor's Justice. Q,0.40310398,"The News Media in our Country is FAKE and in many cases, totally CORRUPT! https://t.co/hj9plf0GMC",0.6635589
https://twitter.com/RepAndyHarrisMD/status/1242178705050480640  PREVENT [[D] party destruction] BY ANY MEANS NECESSARY. These people are sick! Nothing can stop what is coming. Nothing. Q,0.3812681,"Things are really getting ridiculous. The Failing and Crooked (but not as Crooked as Hillary Clinton) @nytimes has done a long &amp, boring story indicating that the World’s most expensive Witch Hunt has found nothing on Russia &amp, me so now they are looking at the rest of the World!",0.5647176
>>7593781  Toying with the enemy!   Don't get smug.,0.35562328,John Kerry got caught essentially admitting that funds given ridiculously to Iran were used to fund attacks on the USA. Only a complete fool would have given that 150 Billion Dollars Plus to Iran. They then went on a Middle East Rampage! @foxandfriends @PeteHegseth,0.80291706
">>7561023 Also, think 'White Squal' re: Cuban M Crisis/JFK. Do comms only go to Anons? Bigger than you can imagine. Expand you're thinking. Q",0.350983,"RT @JohnVoight__: They still pretend they cannot see all of this , the are hypocrites we know... Keep up with the good work, you have my...",0.78620946
">>7561023 Also, think 'White Squal' re: Cuban M Crisis/JFK. Do comms only go to Anons? Bigger than you can imagine. Expand you're thinking. Q",0.350983,"Corrupt Congressman Adam Schiff is angry that Ambassadors that he thought would be good for his fraudulent Witch Hunt, are turning out to be good for me - some really good! He’s got all meetings locked down, no transparency, only his illegal leaks. A very dishonest sleazebag!",0.7748877
